*******************************  ?TO DO

gmd:contentInfo -> 5907
gmd:dimension/gmd:MD_Band -> 69841
gmd:minValue -> 15250
gmd:maxValue -> 15245
gmd:units -> 10174
gmd:MD_CoverageDescription -> 2531

gmd:sequenceIdentifier/gco:MemberName -> 69791
gmd:axisDimensionProperties/gmd:MD_Dimension/gmd:dimensionName/gmd:MD_DimensionNameTypeCode -> 3913
gco:aName -> 70748

gmd:resourceConstraints -> 57330
gmd:metadataConstraints -> 8951
gmd:MD_LegalConstraints -> 29613
gmd:otherConstraints -> 29492
gmd:useLimitation -> 23407
gmd:MD_Constraints -> 23249
gmd:MD_RestrictionCode -> 35817
gmd:accessConstraints -> 18495
gmd:MD_SecurityConstraints -> 13419
gmd:classification -> 13103
gmd:MD_ClassificationCode -> 13103
gmd:useConstraints -> 17305

gmd:MD_MaintenanceInformation -> 30008
gmd:resourceMaintenance -> 18250
gmd:metadataMaintenance -> 11758
gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode -> 29895
gmd:descriptor -> 28446
gmd:maintenanceNote -> 12450

*********************************************

xxgmx:Anchor -> 165719
xxns4:Anchor -> 51294

xxgmd:contact -> 37072
xxgmd:citedResponsibleParty -> 75155
xxgmd:distributorContact -> 19972
xxxgmd:pointOfContact -> 19818
xxxgmd:CI_ResponsibleParty -> 159107
xxxgmd:organisationName -> 132145
xxxgmd:CI_RoleCode/gmd:role -> 147313
xxxgmd:individualName -> 28633
xxgmd:positionName -> 25930

xxgmd:citation -> 22823
xxgmd:CI_Citation/gmd:title -> 134520
xxgmd:ISBN -> 6431
xxgmd:series -> 6220
xxgmd:CI_Series -> 6220
xxgmd:issueIdentification -> 6201
xxgmd:identifier -> 15984
xxgmd:presentationForm -> 14359
xxgmd:CI_PresentationFormCode -> 14359

xxxgmd:descriptiveKeywords/gmd:MD_Keywords -> 112171
xxxgmd:keyword -> 470136
xxxgmd:thesaurusName -> 94347
xxxgmd:type/gmd:MD_KeywordTypeCode -> 91596

xxxgmd:date -> 106340
xxxgmd:contactInfo/gmd:CI_Contact -> 105821
xxxgmd:voice -> 70865
xxxgmd:phone/gmd:CI_Telephone -> 63665
xxxgmd:facsimile -> 53812
xxxgmd:hoursOfService -> 20368

xxxgmd:address -> 83999
xxxgmd:CI_Address -> 83999
xxxgmd:city -> 78330
xxxgmd:administrativeArea -> 74346
xxxgmd:deliveryPoint -> 71246
xxxgmd:postalCode -> 67663
xxxgmd:country -> 66473
xxxgmd:electronicMailAddress -> 62043

xxxgmd:MD_DigitalTransferOptions -> 34062
xxxgmd:distributorTransferOptions -> 23441
xxxgmd:transferOptions -> 10621
xxxgmd:CI_OnlineResource -> 71244
xxxgmd:linkage/gmd:URL -> 71239
xxxgmd:function/gmd:CI_OnLineFunctionCode -> 44733
xxxgmd:protocol -> 41697
xxxgmd:applicationProfile -> 26480
xxxgmd:onLine -> 36149
xxxgmd:onlineResource -> 34731
gmd:distributionFormat -> 11343
gmd:orderingInstructions -> 10627
gmd:distributorFormat -> 8211

xxxgco:Date -> 69418
xxxgmd:description -> 63694

gmd:name -> 56811

gmd:CI_Date -> 54457
gmd:dateType -> 54152
gmd:CI_DateTypeCode -> 54152


gmi:MI_Metadata -> 11790
xxxgmd:MD_Metadata -> 10780
xxxgmd:characterSet/gmd:MD_CharacterSetCode -> 26622
xxxgmd:language -> 42452
xxxgmd:topicCategory/gmd:MD_TopicCategoryCode -> 29992
xxxgmd:fileIdentifier -> 22570
xxxgmd:dateStamp -> 22570
xxxgmd:metadataStandardName -> 22570
xxxgmd:metadataStandardVersion -> 22570
xxxgmd:hierarchyLevel -> 22550
xxxgmd:hierarchyLevelName -> 7906
xxxgmd:MD_ScopeCode -> 32571

xxxgmd:EX_Extent -> 23173
xxxgmd:extent -> 37114
xxxgmd:geographicElement -> 19326
xxxgmd:EX_GeographicBoundingBox -> 19231
xxxgmd:westBoundLongitude -> 19231
xxxgmd:eastBoundLongitude -> 19231
xxxgmd:southBoundLatitude -> 19231
xxxgmd:northBoundLatitude -> 19231

xxxgmd:identificationInfo -> 22823
xxxgmd:MD_DataIdentification -> 22564
xxxgmd:abstract -> 18144

xxxgmd:distributionInfo -> 20057
xxxgmd:MD_Distribution -> 20057
xxxgmd:MD_Distributor -> 19979
xxxgmd:distributor -> 19968
xxxgmd:MD_Format -> 19583
xxxgmd:MD_StandardOrderProcess -> 15292
xxxgmd:distributionOrderProcess -> 15292


gmd:code -> 18662
gmd:temporalElement -> 18457
gmd:EX_TemporalExtent -> 18457
ns4:TimePeriod -> 4316
ns4:beginPosition -> 4299

gmd:MD_Identifier -> 17902

gmd:dataQualityInfo -> 10295
gmd:DQ_DataQuality -> 10295
gmd:lineage -> 10258
gmd:LI_Lineage -> 10258
gmd:processStep -> 9712
gmi:LE_ProcessStep -> 9390
gmd:report -> 12348

gmd:scope -> 10051
gmd:DQ_Scope -> 10051
gmd:level -> 10038
gmd:measureDescription -> 3687

gmd:DQ_ConceptualConsistency -> 3293
gmd:DQ_CompletenessCommission -> 3267
gmd:DQ_CompletenessOmission -> 3139
gmd:DQ_AbsoluteExternalPositionalAccuracy -> 2248

gmd:MD_FeatureCatalogueDescription -> 3080
gmd:includedWithDataset -> 3037

gmd:LanguageCode -> 15349

gmd:fees -> 15230
gco:DateTime -> 14566

gmd:MD_ProgressCode -> 11755
gmd:status -> 11716
gmd:purpose -> 11662

ns4:identifier -> 10445
ns4:UnitDefinition -> 9974
ns4:name -> 9974
gmd:supplementalInformation -> 9870
gmd:evaluationMethodDescription -> 8623
gmd:authority -> 8300
xxxgco:Integer -> 8241
xxxgmd:dataSetURI -> 7851
gml:TimePeriod -> 7770
gml:beginPosition -> 7751
gmd:dateTime -> 7737
gml:endPosition -> 7594
xxxgmd:offLine -> 7151
